scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,1.104,73.769,1
3,1000,1.418,69.188,2
4,1000,2.391,77.137,5
5,1000,5.256,80.161,11
6,1000,7.131,79.861,23
7,1000,8.753,85.888,45
8,1000,6.398,76.761,99
9,1000,13.732,80.133,198
10,1000,9.183,82.286,395
11,1000,10.944,85.96,798
12,1000,12.604,88.084,1612
13,1000,15.914,87.227,3249
14,1000,26.262,86.33,6489
15,1000,55.903,87.232,13008
16,1000,104.05,73.029,26041
17,1000,202.95,72.203,52136
18,1000,424.001,67.33,104243
19,1000,796.221,73.79,215731
20,1000,2500.76,302.932,7991637
