scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.999,77.583,4
3,1000,0.878,77.975,9
4,1000,0.806,77.921,21
5,1000,0.86,78.958,55
6,1000,1.018,78.62,112
7,1000,1.07,79.19,218
8,1000,1.555,79.976,448
9,1000,2.263,81.077,921
10,1000,4.383,78.865,1892
11,1000,8.364,78.032,3899
12,1000,17.148,79.077,7786
13,1000,36.986,82.581,15731
14,1000,77.161,84.271,31983
15,1000,167.942,95.056,63471
16,1000,287.888,92.964,128399
17,1000,603.444,72.485,258165
18,1000,1322.69,71.983,618801
19,1000,2982.01,633.495,4246607
20,1000,6836.48,1628.37,14409432
