scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.908,100.111,1
3,1000,1.364,102.414,3
4,1000,2.501,102.247,7
5,1000,7.382,106.234,14
6,1000,0.581,104.115,36
7,1000,4.901,101.323,60
8,1000,4.88,103.306,121
9,1000,5.038,103.154,244
10,1000,1.747,98.675,500
11,1000,6.645,106.104,1012
12,1000,11.197,107.593,2002
13,1000,14.27,102.757,3965
14,1000,31.692,111.78,8138
15,1000,57.267,111.114,16327
16,1000,87.342,99.499,32341
17,1000,174.026,102.707,65440
18,1000,359.069,103.289,130306
19,1000,824.75,102.319,369702
20,1000,2125.08,400.935,9042520
