scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,1.333,104.175,1
3,1000,1.113,103.718,2
4,1000,2.655,97.021,3
5,1000,5.164,90.018,7
6,1000,9.435,90.449,16
7,1000,9.667,97.389,33
8,1000,7.425,92.289,67
9,1000,9.982,92.823,135
10,1000,10.928,100.124,267
11,1000,13.557,102.262,537
12,1000,13.823,109.575,1076
13,1000,14.426,111.742,2201
14,1000,25.627,120.518,4339
15,1000,42.658,111.357,8688
16,1000,74.996,90.227,17399
17,1000,157.714,95.598,34842
18,1000,309.41,91.142,69762
19,1000,624.035,94.532,139097
20,1000,1785.94,302.542,6953942
