scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.608,92.935,1
3,1000,0.999,89.454,0
4,1000,2.808,96.843,4
5,1000,5.738,90.402,9
6,1000,6.551,96.001,19
7,1000,5.268,91.135,34
8,1000,6.728,99.389,68
9,1000,10.88,90.113,147
10,1000,5.522,107.47,296
11,1000,8.501,96.165,603
12,1000,10.547,100.778,1201
13,1000,15.209,102.101,2385
14,1000,23.481,105.632,4827
15,1000,43.975,103.377,9657
16,1000,74.375,89.089,19312
17,1000,146.225,94.389,38586
18,1000,318.049,94.009,77526
19,1000,606.94,104.646,155199
20,1000,1972.46,288.454,7092463
