scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.643,61.946,5
3,1000,0.551,61.984,13
4,1000,0.602,62.389,30
5,1000,0.722,62.672,71
6,1000,0.651,63.25,159
7,1000,0.93,64.154,321
8,1000,1.409,64.231,676
9,1000,2.762,66.018,1390
10,1000,5.328,68.426,2949
11,1000,11.229,64.375,5997
12,1000,21.345,61.504,12225
13,1000,43.401,63.534,24704
14,1000,93.837,67.552,50199
15,1000,199.781,76.062,100589
16,1000,434.563,94.708,203108
17,1000,934.663,56.707,408699
18,1000,2113.08,59.154,1456115
19,1000,5158.46,1239.73,6007617
20,1000,11818.7,3622.86,15232001
