scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,1.221,67.648,1
3,1000,2.437,65.243,6
4,1000,1.519,68.386,15
5,1000,3.342,65.079,26
6,1000,1.771,71.735,56
7,1000,3.596,69.464,118
8,1000,3.65,70.572,231
9,1000,4.163,72.061,488
10,1000,3.725,69.46,977
11,1000,8.416,69.252,1948
12,1000,11.64,69.313,3987
13,1000,24.698,72.153,8006
14,1000,47.524,72.409,16064
15,1000,99.104,77.736,32693
16,1000,156.201,66.511,64649
17,1000,314.153,65.919,129981
18,1000,701.864,66.252,259781
19,1000,1691.63,65.119,1687829
20,1000,4018.8,800.145,12210741
