scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,1.472,114.66,2
3,1000,2.132,112.189,5
4,1000,3.304,115.073,10
5,1000,3.59,120.677,26
6,1000,1.882,121.569,63
7,1000,3.565,115.834,118
8,1000,3.966,118.537,240
9,1000,2.448,117.133,467
10,1000,4.531,119.657,983
11,1000,5.917,118.884,1970
12,1000,10.901,118.347,3900
13,1000,21.47,117.367,8023
14,1000,44.517,122.345,16166
15,1000,94.671,122.129,32552
16,1000,153.253,126.41,64611
17,1000,315.822,112.727,129703
18,1000,683.599,108.894,259700
19,1000,1654.66,113.434,1687146
20,1000,3934.82,885.027,12219758
