scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.711,29.156,8
3,1000,0.626,29.2,23
4,1000,0.344,29.287,55
5,1000,0.634,29.383,147
6,1000,0.896,29.597,315
7,1000,1.726,30.957,695
8,1000,3.295,30.538,1517
9,1000,7.282,31.352,3231
10,1000,12.955,32.087,6685
11,1000,26.794,32.958,13951
12,1000,57.383,39.809,28773
13,1000,119.736,54.904,58668
14,1000,264.859,92.802,119602
15,1000,581.403,160.501,243449
16,1000,1242.18,275.999,492660
17,1000,2650.58,27.341,1314333
18,1000,6016.07,27.832,3393978
19,1000,13899.4,4745.53,7591723
20,1000,29769.3,10917.4,15879224
