scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.586,86.426,1
3,1000,0.851,86.248,1
4,1000,1.827,89.505,8
5,1000,3.05,81.018,15
6,1000,3.827,82.761,21
7,1000,3.731,86.418,46
8,1000,3.286,86.542,92
9,1000,3.572,87.778,180
10,1000,4.847,89.256,383
11,1000,4.995,102.691,738
12,1000,6.738,91.264,1542
13,1000,10.871,92.573,3089
14,1000,18.901,94.54,6170
15,1000,52.373,105.746,12393
16,1000,78.497,89.459,24806
17,1000,143.623,87.773,49697
18,1000,316.32,95.405,98755
19,1000,644.452,98.468,199150
20,1000,1839.91,344.588,7942138
