scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.591,88.062,2
3,1000,0.906,87.697,3
4,1000,0.964,85.966,6
5,1000,2.272,83.034,12
6,1000,2.707,83.514,26
7,1000,2.642,90.852,53
8,1000,2.813,90.09,116
9,1000,2.394,89.795,227
10,1000,4.077,88.506,457
11,1000,4.596,86.743,919
12,1000,7.165,89.79,1834
13,1000,10.791,91.561,3672
14,1000,22.493,98.869,7404
15,1000,45.927,101.051,14854
16,1000,83.519,90.207,29753
17,1000,166.789,94.538,60024
18,1000,332.512,92.749,119155
19,1000,717.703,93.889,290621
20,1000,2858.32,337.493,8415621
