scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.644,41.304,4
3,1000,1.192,34.019,11
4,1000,1.095,36.89,24
5,1000,0.261,42.982,56
6,1000,0.344,45.322,111
7,1000,1.315,30.984,252
8,1000,1.031,39.453,527
9,1000,2.051,39.8,1068
10,1000,4.003,44.522,2153
11,1000,6.937,45.853,4360
12,1000,19.506,39.958,8823
13,1000,32.15,31.275,17899
14,1000,78.981,39.412,36049
15,1000,177.461,55.351,72709
16,1000,323.728,53.551,146043
17,1000,678.884,42.622,293089
18,1000,1463.35,47.834,800215
19,1000,3469.61,789.768,4843356
20,1000,8184,2310.57,14699744
