scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,1,49.983,3
3,1000,1.315,47.883,8
4,1000,1.681,51.234,19
5,1000,1.877,49.89,39
6,1000,1.677,47.964,70
7,1000,1.827,48.989,150
8,1000,1.884,50.125,326
9,1000,2.983,56.306,640
10,1000,3.549,47.4,1317
11,1000,6.637,52.102,2594
12,1000,11.598,48.957,5241
13,1000,23.338,48.957,10616
14,1000,52.435,54.238,21324
15,1000,100.02,55.749,43076
16,1000,196.503,58.802,85937
17,1000,419.698,47.825,172303
18,1000,912.772,47.207,345737
19,1000,2005.83,49.19,2622237
20,1000,4941.66,52.146,13351722
