scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,1.51,83.937,1
3,1000,1.381,84.088,1
4,1000,2.709,85.223,3
5,1000,4.84,83.513,11
6,1000,5.873,84.486,23
7,1000,5.832,84.5,46
8,1000,8.975,84.741,99
9,1000,6.517,93.767,195
10,1000,6.603,88.615,398
11,1000,10.162,89.459,803
12,1000,9.145,97.776,1611
13,1000,15.006,93.71,3249
14,1000,24.966,96.182,6489
15,1000,40.491,99.586,13085
16,1000,71.732,86.378,25972
17,1000,149.981,91.365,52135
18,1000,304.846,88.263,104286
19,1000,644.395,88.915,216417
20,1000,1926.05,313.309,8102997
