scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,1.841,59.383,1
3,1000,3.055,53.256,3
4,1000,4.344,63.396,7
5,1000,4.035,72.019,18
6,1000,3.597,63.629,41
7,1000,6.869,61.967,75
8,1000,5.192,63.147,165
9,1000,5.065,67.076,327
10,1000,5.293,72.1,663
11,1000,7.691,76.921,1333
12,1000,11.074,65.016,2605
13,1000,21.883,65.919,5373
14,1000,44.183,66.165,10786
15,1000,67.004,70.482,21583
16,1000,122.335,62.061,43412
17,1000,269.61,71.563,86724
18,1000,555.505,64.862,173824
19,1000,1210.42,63.851,774871
20,1000,3824.95,505.428,8713622
