scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.577,75.952,1
3,1000,0.933,76.974,3
4,1000,2.777,78.16,6
5,1000,2.839,76.506,12
6,1000,5.718,77.887,25
7,1000,5.699,75.185,51
8,1000,3.229,78.625,113
9,1000,4.596,77.088,218
10,1000,4.219,79.837,443
11,1000,6.165,79.608,888
12,1000,8.193,86.46,1794
13,1000,12.134,83.598,3621
14,1000,23.051,88.532,7207
15,1000,39.919,86.139,14377
16,1000,76.36,80.044,28928
17,1000,156.912,76.357,57942
18,1000,338.863,92.59,116450
19,1000,734.504,78.626,271557
20,1000,2340.8,339.047,8304826
