scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,48,0.684,6.783,1
3,191,0.795,17.378,3
4,119,1.324,12.995,7
5,295,1.965,26.552,13
6,673,2.252,55.615,31
7,481,2.666,40.667,49
8,1262,2.158,108.601,112
9,1901,2.414,176.161,219
10,2601,3.575,245.553,470
11,4501,4.363,413.212,887
12,5401,6.582,506.864,1835
13,10201,11.756,936.995,3697
14,17001,24.871,1613.94,7418
15,22801,39.276,2049.49,14854
16,36101,85.172,3346.73,29813
17,59801,155.285,5500.44,59652
18,88201,338.292,7899.35,119365
19,160301,722.374,15019.2,290964
20,1731801,2152.51,168535,8541981
