scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,163,0.747,11.025,7
3,220,0.963,14.716,8
4,416,0.667,26.956,26
5,941,0.705,61.721,59
6,1249,0.928,79.92,139
7,3301,1.143,214.39,277
8,4607,1.754,297.747,585
9,7801,2.814,508.285,1215
10,13401,5.285,867.792,2478
11,17601,10.091,1168.88,5069
12,29601,21.516,1927.4,10230
13,44801,40.897,2916.25,20734
14,74701,84.484,4886.57,41873
15,111801,189.931,7189.29,84407
16,172101,368.697,11206.1,170190
17,273201,792.595,17624.2,341146
18,427901,1741.71,27722.3,1071783
19,2049801,4261.47,133461,5439631
20,4475001,9551.75,293372,14983180
