scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1,1.132,0.768,0
3,184,2.394,10.848,7
4,361,1.441,27.331,17
5,391,3.492,23.562,28
6,1024,1.415,56.21,61
7,1165,6.663,55.943,118
8,2201,3.815,99.748,236
9,3201,2.664,147.952,471
10,5601,3.982,312.786,977
11,8201,6.158,448.344,1941
12,13301,16.274,727.833,3974
13,20901,32.172,1354.96,7994
14,33901,64.11,2318.33,16088
15,50601,114.67,3261.16,32293
16,77701,154.722,4754.52,64855
17,118601,383.381,7658.96,129447
18,182902,784.93,11092.4,259728
19,1422001,1680.2,92318.7,1687457
20,4483401,4181.55,311159,12213857
