scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,37,0.943,2.623,2
3,51,1.495,3.592,4
4,247,2.678,16.915,10
5,476,2.536,29.662,24
6,1101,2.692,81.004,56
7,1426,3.123,88.109,116
8,1553,3.207,109.861,205
9,3565,3.038,236.052,430
10,4901,3.25,339.126,868
11,6634,7.153,442.214,1727
12,12001,9.834,835.173,3542
13,17101,21.526,1460.73,7120
14,26601,43.144,1851.84,14321
15,44801,80.443,3496.03,28685
16,69801,131.216,5908.95,57615
17,107901,300.902,10220.4,115427
18,166301,603.274,13001.6,231681
19,1291101,1508.76,126119,1382173
20,4286301,3936.26,413075,11626554
