scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1,0.871,1.003,0
3,27,2.1,6.213,1
4,52,2.872,6.527,3
5,253,5.244,26.498,7
6,135,9.781,13.038,15
7,333,9.886,30.064,32
8,892,14.879,76.562,63
9,666,9.638,59.829,122
10,951,10.514,77.804,250
11,2038,12.114,181.641,505
12,3901,13.047,371.461,1009
13,6001,16.584,598.507,2028
14,7401,24.164,747.406,4079
15,14601,56.176,1569.89,8157
16,20201,73.413,2170.58,16307
17,32801,122.771,3735.55,32470
18,46801,247.871,5279.64,65338
19,80501,526.806,9125.02,130891
20,1716101,1735.08,199309,6794332
