scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1,1.178,1.087,0
3,57,2.057,7.051,1
4,139,2.505,10.868,5
5,244,4.794,19.345,12
6,341,6.197,27.912,24
7,301,9.219,24.252,46
8,523,6.118,41.007,99
9,1197,6.685,91.31,202
10,2476,1.864,192.11,396
11,3611,3.095,266.413,804
12,4001,10.426,287.95,1620
13,8614,23.016,588.331,3238
14,15701,34.474,1102.73,6484
15,22601,50.929,1772.74,13010
16,32801,91.692,2509.53,26050
17,48802,196.18,3958.66,52170
18,79201,402.428,6581.57,104310
19,124001,789.494,9913.97,216115
20,2614601,2548.91,225431,7901548
