scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,100,1.255,7.685,1
3,123,1.358,8.026,5
4,269,3.453,18.202,11
5,336,3.76,23.917,21
6,577,1.306,39.243,43
7,1701,1.493,102.459,106
8,1471,4.101,99.007,212
9,2476,4.259,136.189,433
10,5644,5.052,339.933,870
11,6601,6.1,425.598,1762
12,12001,11.533,790.409,3542
13,19201,22.873,1348.06,7123
14,26601,47.003,2074.97,14321
15,41401,88.094,3227.93,28735
16,69301,158.29,5617.01,57596
17,107701,338.337,9525.23,115787
18,166401,715.588,12968.7,230499
19,1282401,1564.76,96713.5,1381987
20,4286301,3918.16,298457,11631610
