scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1,0.989,1.012,0
3,57,1.339,8.018,1
4,155,2.444,16.881,4
5,9,4.054,1.938,9
6,381,5.245,35.843,18
7,281,6.289,27.207,36
8,1002,5.413,93.231,81
9,1141,6.636,107.685,156
10,1657,10.747,164.741,311
11,2674,7.168,252.87,644
12,3627,10.333,332.024,1295
13,6201,16.121,618.509,2582
14,11401,24.382,1143.21,5200
15,17201,43.48,1837.12,10427
16,26201,81.671,2815.14,20838
17,40501,173.16,4159.27,41837
18,70401,372.901,7396.98,83520
19,104901,673.581,10741.9,167218
20,4476101,2283.42,472904,7380742
