scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,29,0.215,1.423,5
3,389,1.464,12.86,11
4,401,0.242,15.599,19
5,624,1.062,23.691,55
6,991,1.164,27.041,119
7,3070,0.534,102.138,247
8,4401,0.891,177.42,506
9,6337,1.633,266.69,1051
10,10601,4.499,428.752,2144
11,17101,9.087,643.137,4364
12,26501,17.957,1019.99,8823
13,40101,31.505,1584.17,17889
14,57001,67.072,1640.19,36052
15,97301,161.546,3140.53,72637
16,149301,315.335,6366.12,146042
17,241801,668.472,8955.71,292697
18,378001,1458.62,15170.3,800020
19,2188401,3697.84,78725.7,4843541
20,4029801,8182.78,122319,14699220
