scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,100,1.239,4.389,2
3,401,0.566,18.839,10
4,253,1.913,10.402,21
5,501,0.579,21.717,37
6,1359,0.776,53.947,88
7,1729,0.783,69.171,194
8,2501,2.163,102.606,376
9,5701,2.818,253.397,751
10,7801,3.195,308.726,1533
11,11201,8.511,477.718,3133
12,18901,14.616,798.776,6283
13,30201,25.673,1322.12,12675
14,47502,55.226,1788.5,25577
15,72601,123.028,3167.78,51425
16,113401,235.829,4781.29,102498
17,176601,498.849,8475,206702
18,277601,1077.49,11734.4,413500
19,865101,2406.01,44172.9,3273350
20,4480701,5963.45,206122,13882531
