scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,196,0.23,7.589,6
3,321,0.265,10.815,19
4,811,0.431,31.222,49
5,1616,0.545,59.648,104
6,2501,0.753,91.638,227
7,4101,1.153,149.857,515
8,6801,2.16,246.669,1072
9,10401,4.159,380.044,2189
10,19401,9.809,707.704,4696
11,29801,19.254,1062.82,9719
12,47101,37.194,1702.33,19816
13,76601,71.726,2780.94,40491
14,119001,164.004,4326.26,81610
15,192901,376.013,6988.22,164624
16,299901,801.801,10847.6,332816
17,471901,1705.45,17291.1,771239
18,1468101,3836.03,53127.5,2719352
19,2700601,8975.06,100054,7120155
20,4472801,19595.9,168288,15701665
