scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,189,0.371,8.177,4
3,401,0.36,16.877,11
4,501,0.408,20.526,24
5,793,1.191,32.936,64
6,1801,0.571,72.738,136
7,3201,0.89,137.046,294
8,5201,1.318,228.937,578
9,7624,2.59,335.277,1223
10,11101,5.162,457.337,2498
11,18501,9.697,773.937,5049
12,30301,18.771,1281.81,10407
13,44801,38.658,1940.38,20753
14,74701,82.814,3274.3,41826
15,111101,178.852,4814.18,84293
16,172101,362.817,7901.83,169500
17,280201,792.82,12233.3,340531
18,431501,1768.19,17150.6,1065753
19,2055101,4214.24,103706,5439330
20,4475001,9547.92,197357,14983339
