scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,2,1.351,0.851,1
3,41,2.6,3.508,6
4,274,3.035,23.812,10
5,501,3.177,36.934,23
6,409,4.189,36.433,42
7,1601,2.941,115.481,91
8,1317,5.001,98.233,188
9,2773,3.724,210.271,365
10,4501,5.391,343.522,751
11,6301,5.552,499.398,1514
12,10001,11.565,768.65,3060
13,15301,19.548,1239.44,6129
14,23702,39.809,2209.04,12280
15,37201,69.32,3483.14,24656
16,61101,120.935,4934.9,49403
17,94401,274.884,9702.76,99157
18,144201,615.184,11134.6,198294
19,453401,1335.37,40420.7,1027606
20,1713201,3503.79,155021,10743597
