scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,89,0.592,10.088,1
3,97,0.917,12.108,3
4,97,1.423,10.816,5
5,189,3.055,18.617,10
6,397,5.467,38.488,19
7,397,4.509,37.473,44
8,874,3.974,88.189,82
9,1189,4.058,107.117,165
10,1693,4.669,156.057,328
11,3529,6.51,351.912,656
12,5001,7.566,524.616,1320
13,7801,11.425,794.806,2641
14,11301,22.742,1236.17,5298
15,15201,40.185,1721.13,10625
16,29801,80.238,3395.13,21283
17,44001,136.322,4844.85,42629
18,64801,292.185,6873.31,85146
19,97801,577.687,11050.3,170829
20,1771901,1762.38,181735,7443382
