scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,72,0.609,7.911,1
3,55,1.247,6.989,2
4,232,1.427,19.212,6
5,131,5.141,11.191,11
6,265,7.657,19.501,19
7,461,7.536,37.087,42
8,665,5.94,47.325,84
9,1501,6.031,108.362,165
10,1921,8.481,157.892,331
11,2773,6.261,213.384,668
12,5901,9.38,495.886,1345
13,6901,12.439,535.633,2711
14,11001,23.284,991.843,5411
15,18501,51.145,1650.48,10787
16,30702,78.593,2792.51,21713
17,42901,145.17,4126.68,43588
18,65201,311.39,5966.88,87206
19,99601,615.749,9196.1,174165
20,1794601,1929.24,155320,7555540
