scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,161,0.375,8.131,5
3,317,0.425,16.66,11
4,901,0.404,45.507,36
5,1585,0.958,79.56,88
6,2401,0.757,120.416,190
7,4701,0.958,236.39,405
8,6301,1.737,315.575,860
9,10401,3.314,512.074,1765
10,15501,6.689,773.662,3593
11,24101,14.179,1198.23,7344
12,37201,31.473,1843.18,15078
13,61201,66.043,3080.7,30619
14,96901,140.35,4837.88,61797
15,155901,305.517,7771.98,125053
16,241301,559.064,12032.3,252355
17,384701,1144.3,19176.1,506886
18,1154401,2692.93,56615.8,1915502
19,2168201,6340.98,109344,6585675
20,4461901,14767.8,225127,15457712
