scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,95,1.165,8.47,1
3,145,1.507,11.482,3
4,166,2.582,13.355,8
5,217,4.754,16.955,12
6,361,5.561,26.006,26
7,666,8.361,45.607,55
8,820,0.868,55.46,102
9,1366,5.894,93.484,218
10,2549,6.222,168.496,444
11,4117,12.251,259.552,887
12,6901,6.355,448.464,1789
13,9701,12.931,636.436,3584
14,15801,29.95,1121.56,7215
15,23201,49.47,1619.72,14392
16,39401,95.841,2995.07,28911
17,58001,206.015,4523.1,57940
18,88101,383.342,6923.28,116316
19,138701,869.15,10757,272027
20,1794401,2489.44,129771,8419760
