scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,135,0.801,6.74,2
3,167,1.544,8.211,3
4,286,1.969,21.22,16
5,559,1.544,27.024,35
6,1201,1.473,58.642,73
7,1288,1.576,63.543,135
8,2946,1.823,151.855,304
9,4501,2.887,238.809,613
10,7101,3.467,360.018,1308
11,11601,6.308,548.544,2610
12,18101,12.923,885.977,5279
13,28501,25.615,1510.77,10625
14,38401,46.901,2050.47,21327
15,63101,97.852,3341.36,42606
16,95801,202.55,4821.46,85819
17,147501,415.608,7454.88,172357
18,235201,897.131,11788.7,345123
19,1681901,2093.36,124081,2620886
20,4476001,5055.33,226905,13352136
