scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,183,0.545,11.294,7
3,193,0.545,12.041,11
4,561,0.619,33.873,33
5,1189,0.715,72.21,76
6,2038,0.759,122.971,150
7,3501,1.033,209.219,346
8,5601,1.551,339.526,684
9,7901,2.972,469.803,1406
10,13401,5.869,798.358,2936
11,20801,11.856,1250.75,5990
12,32001,22.665,1879.45,12188
13,53001,44.51,3149.46,24738
14,78701,94.303,4701.02,50075
15,128001,199.828,7648.39,100778
16,199601,436.763,11982.1,203108
17,322201,990.765,19205.4,407767
18,729601,2166.07,43636.6,1456115
19,2314901,4988.55,139214,6007617
20,4476101,11503.1,271884,15231516
