scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,54,0.931,8.335,2
3,57,0.886,8.946,2
4,61,2.431,9.292,2
5,220,5.711,22.97,9
6,389,6.851,42.195,18
7,713,7.165,69.558,35
8,641,6.179,64.598,65
9,1249,7.696,128.836,127
10,1054,6.657,117.106,257
11,1961,7.071,209.767,516
12,3039,9.869,316.435,1028
13,6601,14.479,740.276,2064
14,8201,20.84,961.074,4128
15,14401,36.193,1800.34,8280
16,19201,71.046,2347.89,16660
17,35301,139.222,4260.69,33169
18,50501,267.234,5695.21,66387
19,77501,599.715,9457.2,132237
20,1773801,1830.54,212478,6720939
