scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,88,47.034,12.899,1
3,42,84.609,7.442,1
4,97,109.157,12.55,4
5,7,135.625,1.855,5
6,317,113.366,37.88,9
7,451,113.814,52.797,30
8,486,112.852,56.966,52
9,571,114.465,67.919,93
10,1373,121.129,163.517,222
11,2257,115.279,268.781,430
12,3396,115.167,423.368,896
13,6201,137.922,720.635,1815
14,8201,182.43,964.889,3610
15,12801,145.385,1552.07,7190
16,19001,212.693,2288.2,14639
17,29701,240.041,3519.01,28886
18,45901,379.42,5201.1,58255
19,75001,566.887,8738.91,116414
20,1794701,1661.53,218507,6353381
