scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,93,1.117,8.09,1
3,25,0.412,3.373,1
4,244,2.488,21.594,7
5,238,4.679,18.574,13
6,426,21.413,29.371,32
7,501,7.289,35.954,56
8,1317,7.446,93.637,123
9,1684,5.225,123.448,249
10,2701,8.131,184.642,503
11,3701,10.161,287.119,1007
12,7101,10.201,557.154,2001
13,11901,17.783,962.539,4041
14,15902,40.639,1355.65,8109
15,24001,60.809,2187.41,16259
16,39401,96.01,4034.94,32672
17,61101,200.877,6136.63,65200
18,99501,427.438,10345.2,130999
19,329601,942.074,32847.2,363151
20,2012901,2535.28,211162,9014776
