scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,95,0.597,3.97,4
3,181,0.667,8.14,11
4,369,0.635,15.288,20
5,1046,1.147,43.353,47
6,1101,1.693,43.568,102
7,3201,1.857,126.818,220
8,4201,2.382,177.466,449
9,5701,3.635,237.299,930
10,10101,4.728,401.706,1892
11,13201,9.348,521.364,3866
12,22801,19.512,918.593,7788
13,38201,37.099,1574.58,15731
14,57501,78.582,2391.86,31895
15,85101,168.942,3536.68,63467
16,132501,284.181,5172.99,128144
17,218401,596.459,9750.81,257115
18,421401,1364.8,17663.5,618753
19,1922401,3085.15,80615.3,4247844
20,4097101,7182.44,172694,14409426
