scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,117,0.998,10.529,3
3,197,1.276,17.427,7
4,325,1.414,28.452,16
5,1013,1.132,92.412,34
6,1101,1.489,97.152,71
7,1387,1.558,122.699,148
8,3001,1.763,259.866,330
9,4020,2.199,355.651,600
10,7001,3.405,615.343,1281
11,9901,6.193,824.959,2613
12,18501,11.375,1596.07,5318
13,28501,26.35,2470.54,10625
14,39801,56.193,3435.7,21396
15,63901,112.845,5508.49,42687
16,95801,201.422,8255.4,86004
17,147501,411.499,12637.9,172477
18,235301,882.347,20066.6,346041
19,1672501,2266.46,143742,2611716
20,4476001,4711.96,385574,13352175
