scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,175,0.262,9.427,3
3,94,0.319,3.374,7
4,431,2.301,18.775,18
5,559,1.463,29.452,39
6,1101,0.401,33.273,89
7,2451,0.573,129.14,177
8,2476,1.898,121.099,374
9,5627,1.599,278.982,749
10,9901,3.279,458.067,1530
11,11502,7.444,436.179,3110
12,19901,11.53,1213.69,6273
13,30901,28.888,1351.95,12610
14,42601,52.831,1752.08,25488
15,76301,122.285,3828.48,51214
16,110101,220.43,5618.88,102821
17,183401,592.074,10094,206385
18,273101,1126.93,9719.94,414093
19,863101,2379.13,42264.6,3271160
20,4480701,5810.89,245029,13882446
