scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,35,2.052,2.947,1
3,195,2.22,16.535,3
4,29,3.531,3.481,6
5,426,3.775,34.647,19
6,829,3.58,67.077,41
7,1486,3.498,128.126,77
8,1701,4.068,140.976,164
9,2674,3.92,241.473,327
10,2575,4.165,204.901,654
11,5301,7.721,417.099,1331
12,9001,10.553,709.442,2673
13,15401,15.58,1580.48,5359
14,20701,33.077,1731.94,10873
15,33101,63.823,2730.32,21471
16,53101,104.403,4607.55,43155
17,83201,231.508,6968.25,86631
18,125201,475.087,11122.8,173117
19,859001,1079.51,73902.9,774881
20,3254601,3353.55,289304,9048189
