scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,175,2.021,12.028,3
3,129,2.185,9.092,5
4,235,3.845,19.166,12
5,461,5.931,32.335,23
6,1035,1.61,73.566,50
7,1537,6.245,99.448,96
8,2113,6.078,130.811,187
9,3008,6.666,198.27,388
10,5201,7.756,398.19,785
11,8101,7.028,596.488,1584
12,12376,12.379,934.64,3184
13,15701,25.13,1056.87,6419
14,24402,42.885,1756.8,12899
15,39701,88.589,2983.2,25860
16,59801,168.537,4620.9,51976
17,97701,352.901,7789.27,104197
18,154101,710.904,13178.3,207519
19,558901,1513.84,42125.4,1132401
20,4481701,3647.05,339027,11134793
