scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,39,1.085,3.13,3
3,226,1.663,16.258,6
4,166,1.998,11.552,13
5,341,2.693,22.099,24
6,1046,1.777,68.938,62
7,2080,2.709,137.371,124
8,2843,2.628,188.284,255
9,3361,2.227,213.073,501
10,7201,4.349,439.814,1033
11,7401,5.867,458.232,2107
12,15301,11.154,945.73,4221
13,22101,24.765,1395.63,8513
14,31802,38.737,2240.1,17133
15,49701,78.292,3123.7,34362
16,80601,165.08,5804.24,69027
17,127301,367.758,8239.08,138102
18,195701,740.974,14129,276875
19,793601,1781.82,47848.6,1901384
20,4473701,4145.88,321370,12476900
