scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,53,0.396,5.974,2
3,34,1.017,5.617,2
4,169,1.578,15.623,6
5,357,3.997,26.75,13
6,317,5.72,25.14,26
7,701,4.251,51.023,53
8,681,4.591,50.652,110
9,2278,4.69,195.652,221
10,2620,2.003,196.895,441
11,3701,4.948,305.667,888
12,6102,8.421,465.047,1794
13,8501,12.786,699.203,3592
14,13501,20.681,1192.56,7206
15,23201,50.071,2110.16,14422
16,36201,87.974,3069.79,28943
17,57701,148.729,5130.34,58039
18,84901,330.038,7550.13,115852
19,139201,715.793,12610.2,271668
20,1794401,2138.85,165133,8412868
