scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,39,0.581,4.874,2
3,97,0.985,9.168,4
4,157,1.939,12.784,6
5,201,3.326,16.743,16
6,245,3.419,19.542,25
7,451,2.155,34.984,54
8,931,2.334,65.471,112
9,1616,5.655,118.741,224
10,2901,4.21,221.293,446
11,3565,5.765,286.32,910
12,7030,8.761,552.291,1828
13,10099,15.595,809.453,3705
14,13401,27.951,1139.34,7411
15,20701,50.243,2009.01,14862
16,40501,92.547,3608.55,29767
17,60601,187.797,5691.91,59582
18,89401,366.274,8324.52,119133
19,162101,793.164,13948.9,289894
20,1731801,2142.66,170646,8548264
