scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,151,0.429,8.741,5
3,293,0.368,15.458,14
4,901,0.618,50.495,40
5,1601,0.475,83.369,94
6,2179,0.702,122.559,191
7,4001,1.53,215.934,400
8,5801,1.877,334.15,856
9,8501,3.502,456.22,1718
10,15501,8.195,890.774,3593
11,25901,14.287,1380.17,7407
12,38101,30.698,2198.55,15101
13,62101,64.649,3342.29,30595
14,93701,137.983,5389.62,61842
15,150101,317.301,8117.85,124632
16,235901,567.338,13524,251860
17,378201,1198.26,20420.6,507401
18,1164301,2720.65,66862.2,1975257
19,2168201,6291.78,117898,6585848
20,4461901,14482.8,260475,15458144
