scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,65,0.706,6.836,1
3,91,1.233,9.04,2
4,167,2.659,14.453,5
5,301,2.865,26.473,10
6,463,3.528,36.699,20
7,673,6.672,53.201,45
8,491,5.324,43.821,95
9,1401,5.298,110.178,195
10,1684,5.995,141.616,385
11,3938,8.429,343.279,762
12,5446,8.173,482.454,1541
13,8601,16.213,801.611,3082
14,12701,21.492,1218.53,6159
15,18101,44.671,1794.14,12386
16,34101,80.047,3070.68,24828
17,46501,151.564,4370.11,49642
18,75901,315.761,7894.09,98929
19,122501,658.483,12263,199523
20,3441301,1943.82,318614,7891150
