scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,60,0.804,8.635,1
3,33,0.78,5.57,2
4,78,3.159,10.761,4
5,381,4.317,37.719,9
6,148,6.704,16.798,17
7,274,6.813,25.736,31
8,393,6.95,37.424,71
9,1197,6.97,101.55,149
10,1129,9.307,113.003,305
11,3105,8.276,291.727,597
12,4701,12.582,459.157,1198
13,7901,15.416,779.121,2407
14,10301,25.276,1060.7,4808
15,15701,37.496,1701.61,9635
16,24101,77.641,2527.27,19224
17,42901,162.124,4574.49,38651
18,59701,319.133,6270.41,77541
19,93501,639.919,9706.12,155244
20,1814601,1986.31,177362,7122021
