scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,53,0.645,7.43,1
3,92,1.512,9.218,3
4,163,1.9,15.107,6
5,25,4.812,5.089,11
6,306,4.539,27.642,21
7,730,5.36,59.365,41
8,951,4.714,80.893,88
9,1301,8.149,107.034,179
10,1471,7.427,129.009,357
11,3136,5.507,264.254,716
12,5050,7.873,471.252,1441
13,7801,13.513,700.202,2881
14,10801,23.995,1034.29,5789
15,18201,46.123,1835.36,11570
16,30901,90.379,2999.87,23161
17,44301,168.623,4244.96,46383
18,70101,371.1,7400.69,92695
19,110801,732.231,11463.4,185723
20,4221801,1959.22,404455,7776518
