scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,177,0.228,4.73,4
3,377,0.261,17.533,12
4,821,0.273,26.851,30
5,1262,0.304,40.677,73
6,1882,0.393,61.079,161
7,3701,0.642,131.256,327
8,5347,1.349,164.581,688
9,8201,2.217,303.495,1407
10,12601,4.579,447.253,2941
11,20801,10.299,607.489,5990
12,33301,21.976,972.661,12246
13,51401,43.526,1990.76,24737
14,79001,95.077,2273.05,49967
15,130201,201.506,3952.75,100651
16,199601,449.39,3819,203232
17,315801,944.196,12678.5,408035
18,621201,2257.88,22582.4,1408371
19,2319301,5211.83,77563.5,6007917
20,4476101,13864.4,121010,15231275
