scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,179,0.239,7.903,4
3,241,1.228,10.513,9
4,694,0.275,25.444,24
5,838,0.358,38.847,43
6,1275,0.424,59.369,102
7,1954,1.583,84.745,201
8,3763,2,177.228,400
9,6001,1.668,299.334,831
10,10201,3.397,349.324,1692
11,12001,6.292,605.098,3424
12,21301,13.383,1002.46,6957
13,31802,37.89,1377.77,14028
14,45701,66.347,2223.59,28255
15,79901,113.395,3177.19,56796
16,124701,245.475,6509.27,113983
17,197801,523.253,9233.86,228906
18,301101,1117.8,14872.7,496022
19,1871901,2676.6,71088.7,3716107
20,3732001,6445.43,166271,14176208
