scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,97,1.583,5.97,2
3,20,2.265,1.896,2
4,163,3.442,13.083,7
5,411,3.198,28.409,18
6,701,3.972,45.691,38
7,1261,4.057,79.019,80
8,1359,5.459,80.071,164
9,2353,4.307,186.933,320
10,3268,6.226,261.776,656
11,5301,9.24,398.852,1331
12,7701,9.909,502.455,2671
13,13201,20.958,936.075,5359
14,20501,41.138,1447.7,10811
15,33401,84.125,2746.6,21599
16,55201,130.247,5085.53,43296
17,80901,270.448,6306.3,86781
18,130801,570.888,11017.2,174288
19,851301,1168.4,68657.5,774594
20,2170201,3568.11,191382,8668795
