scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,195,0.779,16.054,4
3,295,0.941,24.912,8
4,401,1.113,34.472,15
5,441,1.186,37.744,32
6,1079,1.136,91.759,88
7,1941,1.374,165.234,168
8,2501,1.638,207.533,351
9,5569,2.21,469.262,749
10,8201,3.473,687.525,1546
11,14501,6.493,1162.2,3134
12,19901,12.818,1638.46,6285
13,30201,27.352,2494.07,12642
14,46901,52.025,3853.68,25532
15,74201,113.055,6087.02,51283
16,113401,247.534,9263.39,102464
17,176101,529.645,14403,206284
18,278101,1069.86,22900.7,414779
19,863101,2365.85,71030.2,3280035
20,4480701,5394.15,370581,13881659
