scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,15,1.484,1.419,1
3,256,1.729,18.705,7
4,118,2.902,9.393,12
5,281,2.893,20.272,22
6,1101,2.857,77.913,38
7,971,2.765,68.463,90
8,1501,2.789,107.902,188
9,2701,3.175,193.253,406
10,3565,4.079,249.66,787
11,5941,4.98,402.535,1611
12,12501,9.452,852.604,3165
13,18701,17.832,1348.27,6462
14,27701,33.34,2015.88,12879
15,39701,65.299,2885.38,25839
16,63701,124.503,4592.12,51806
17,100401,265.159,7687.06,103543
18,148301,569.741,11311.5,208837
19,558001,1337.83,41157.6,1132616
20,4481701,3512.04,335892,11015307
