scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,153,1.018,7.452,5
3,29,1.531,1.779,6
4,377,0.769,20.345,15
5,577,2.244,26.074,35
6,1001,2.36,48.657,76
7,1441,2.388,68.662,155
8,2476,2.654,119.677,317
9,4401,1.962,200.811,632
10,6701,3.495,325.545,1259
11,9401,6.736,443.119,2620
12,16701,12.465,830.517,5252
13,24402,25.413,1245.81,10591
14,40101,51.94,2110.99,21340
15,63901,106.96,3075.89,42848
16,92301,197.002,5249.05,85700
17,153901,412.988,8147.26,171885
18,234401,886.966,13615.2,346478
19,1681901,2024.97,82630.2,2622049
20,4476001,4780.93,287043,13352381
