scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,277,0.161,4.347,6
3,349,0.184,5.588,14
4,901,0.245,28.027,38
5,1537,0.295,28.366,86
6,2278,0.375,34.3,194
7,4201,0.854,65.801,395
8,6301,1.509,209.936,865
9,8901,3.259,226.513,1761
10,15201,7.444,612.913,3599
11,24801,15.289,474.399,7415
12,38101,30.431,1445.19,15101
13,63901,65.805,1965.69,30610
14,94601,139.941,1461.07,61955
15,153201,304.552,4629.02,124934
16,235901,564.692,4390.17,252170
17,378201,1210.67,12022.3,507758
18,1154401,2768.37,21553.2,1915752
19,2168201,6547.06,66390.7,6586339
20,4461901,14627.8,133550,15457803
