scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,55,2.316,4.931,1
3,177,3.145,15.507,3
4,103,3.779,9.082,8
5,333,6.661,26.53,15
6,317,8.291,27.277,34
7,753,6.562,59.005,75
8,1537,6.187,110.456,153
9,2401,6.645,245.253,325
10,3801,6.758,286.548,605
11,5801,9.389,466.536,1188
12,7822,9.827,680.592,2388
13,12001,19.288,934.507,4762
14,18401,33.538,1582.45,9596
15,30801,63.287,2575.74,19214
16,47201,125.424,4832.53,38491
17,70801,255.751,6136.95,77458
18,117401,506.056,11828.7,154466
19,621401,1105.59,58077.9,581098
20,1800301,3246.53,178144,8780951
