scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,292,0.122,1.879,9
3,701,0.167,4.394,29
4,1301,0.255,7.98,84
5,2401,0.498,14.92,220
6,3801,0.991,23.646,503
7,7801,2.433,52.493,1181
8,12901,4.715,77.587,2605
9,20401,10.016,125.012,5605
10,36001,21.92,225.627,12124
11,57401,47.779,354.285,25586
12,94101,105.526,586.632,53546
13,156801,227.347,995.672,110834
14,249801,493.498,1616.72,227990
15,412601,1099.1,2780.66,466906
16,657301,2571.72,4706.24,951998
17,1067901,5793.53,6309.1,1934778
18,1727001,13020.3,10523.6,3919907
19,2772201,28476.7,25099,7923862
20,4469801,62266.5,26577.6,15988459
