scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1,0.726,1.41,0
3,88,1.636,10.339,1
4,36,1.642,5.913,2
5,199,5.262,19.914,6
6,121,7.773,12.394,12
7,481,7.593,43.731,35
8,345,9.716,33.32,67
9,1002,7.565,98.407,134
10,2255,8.026,195.766,269
11,1901,7.137,175.11,538
12,3901,12.882,348.47,1074
13,6102,12.295,566.918,2166
14,7301,24.52,714.531,4346
15,13101,46.327,1258.29,8684
16,22901,70.893,2387.41,17408
17,36701,149.791,3653.89,34823
18,57801,303.649,5829.54,69637
19,80401,595.937,8463.29,139102
20,4481801,1894.06,456906,6873701
