scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,157,0.653,9.261,4
3,385,0.87,22.174,10
4,466,0.719,26.581,24
5,766,0.703,43.451,58
6,1701,0.895,97.374,131
7,3401,1.155,190.06,283
8,4701,1.43,272.2,579
9,7801,2.56,437.257,1222
10,11201,4.922,629.962,2459
11,20201,9.698,1105.29,5050
12,30301,21.568,1706.4,10243
13,47001,40.437,2659.26,20706
14,67201,83.504,3758,41918
15,112101,204.009,6284.14,84380
16,172101,374.084,9685.78,169454
17,273201,807.658,15233.2,341306
18,431501,1806.46,24077,1065461
19,2050101,4157.24,116001,5439344
20,4475001,9286.47,257371,14983196
