scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,277,0.515,6.143,8
3,501,0.178,11.321,21
4,901,0.239,20.225,55
5,2001,0.679,45.079,134
6,3201,0.627,71.629,335
7,4901,1.446,111.255,695
8,8501,2.64,191.365,1517
9,13601,6.734,309.575,3231
10,25001,12.163,570.53,6685
11,37701,26.471,849.75,13951
12,61201,57.139,1392.46,28614
13,102701,123.803,2337.1,58668
14,156601,268.622,3612.7,119805
15,259601,577.459,5990.87,243307
16,406901,1256.28,9174.54,492660
17,878401,2713.74,19799.8,1314333
18,1502001,6222,34410.7,3393978
19,2663201,13721.6,65187.7,7591723
20,4437501,30171.9,109401,15879224
