scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,193,0.654,15.558,5
3,256,0.865,20.308,11
4,701,0.759,54.231,20
5,1068,0.872,82.833,50
6,1401,0.864,109.616,110
7,3169,1.122,247.219,235
8,4001,2.081,316.94,444
9,5601,2.858,431.281,932
10,9401,4.31,723.578,1884
11,16001,8.26,1195.74,3844
12,23801,16.771,1815.98,7718
13,38101,35.489,2936.54,15677
14,58901,77.957,4512.29,31815
15,85101,167.597,6523.77,63467
16,132501,297.715,10138.3,127886
17,222701,607.923,17019.3,257549
18,420901,1347.6,32110.4,618552
19,1933501,2961.55,148176,4247263
20,4096801,6842.77,311495,14409853
