scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,34,0.687,2.557,1
3,172,1.809,12.476,7
4,446,0.836,31.747,19
5,601,2.261,43.165,31
6,1153,2.324,81.67,73
7,1981,2.479,144.068,148
8,2701,1.232,197.447,317
9,5149,1.83,373.783,633
10,8801,3.481,598.012,1299
11,11601,6.259,786.506,2636
12,18101,11.709,1286.05,5276
13,26101,23.678,1874.85,10599
14,40901,51.482,2943.15,21125
15,59401,107.127,4304.53,42800
16,92301,202.97,6555.26,85788
17,147501,415.865,10220.1,171864
18,235301,911.221,16792.8,345388
19,1678001,2048.05,134133,2623315
20,4476001,4825.04,321549,13351560
